Beanie Baby Name,Animal/Character,Hang Tag,Mint,Non Mint,No Tag,Style #,Notes & Exclusivity
Happy Hanukkah (menorrah),Bear,13,$3-8,$1-3,$1,40279,
Happy Holidays,Bear,13,$3-5,$2,$1,47009,Hallmark
Happy Holidays (Garfield),Garfield,13,$7-20,$1-3,$1,40305,
Happy Holidays (Greetings),Bear,14,$2-5,$1,$1,40537,
Happy Valentine's Day (Gar eld),Gar eld,13,$8-25,$2-5,$1,40317,
Hark (green),Bear,15,$4-9,$1,$1,40709,
Hark (red),Bear,15,$4-9,$1,$1,40709,
Hark (white),Bear,15,$4-9,$1,$1,40709,
Harold,Moose,18,$2-6,$1,$1,40930,
Harper (big eyes),Dog: Schnauzer,19,$7-12,$1-3,$1,42268,
Harrison,Bunny Rabbit,13,$4-7,$1,$1,40194,
Harry,Bear,"7,10",$2-5,$1,$1,4546,
Harvester,Bear,15,$5-10,$1-3,$1,40581,
Haunt,Ghost,18,$1-5,$1,$1,40929,
Haunt,Bear,"7,9",$1-5,$1,$1,4377,
Haunted,Bear,15,$7-14,$1-3,$1,47071,Borders
Haunting,Bear,15,$3-5,$1,$1,40576,
Haunts,Bear,14,$7-12,$1-3,$1,47032,Borders
Hawaii,Bear,12,$7-11,$1-3,$1,40166,State
Hawthorne,Bear,12,$2-7,$1,$1,40154,
Heart,The Emoji Movie,19,$2-7,$1-3,$1,42299,
Heartbear Hotel,Bear: Elvis,15,$7-15,$1-3,$1,40804,
Heartbeat,Dog: Valentine,15,$2-6,$1,$1,40761,
Heartland,Bear,BB2.0,$4-7,$1,$1,44186,Ty Store
Heartley,Bear,15,$4-9,$1-3,$1,47114,Hallmark
Hearts,Dog: Valentine,18,$25-40,$11-20,$2-7,47158,Walgreen
Hearts-A-Flutter,Bear,15,$3-12,$1-3,$1,47083,Hallmark
Hearts-A-Plenty,Bear,15,$3-12,$1-3,$1,47083,Hallmark
Heartthrob,Bear,BBOM,$1-5,$1,$1,4813,BBOM
Heather,Bunny Rabbit,16,$2-6,$1,$1,40766,
Heavenly,Bear,15,$5-15,$1-3,$1,40580,
Heiress,Cat,12,$4-12,$1-3,$1,40079,
"Hello Kitty (apple, green)",Hello Kitty,17,$11-22,$6-8,$2-5,40839,
"Hello Kitty (apple, red)",Hello Kitty,17,$8-13,$5-7,$3-5,40839,
Hello Kitty (aqua tartan),Hello Kitty,18,$7-17,$2-5,$1-3,40900,
Hello Kitty (baby) rattle,Hello Kitty,19,$13-18,$12,$5,41023,
Hello Kitty Badtz Maru,Hello Kitty,17,$11-29,$8-10,$5-6,40884,
Hello Kitty (ballerina),Hello Kitty,18,$7-10,$2-5,$1-3,40888,
"Hello Kitty (ballerina, pink tutu) Key-clip",Hello Kitty,19 sm,$7-13,$1-3,$1,40956,
"Hello Kitty (ballerina, purple tutu) Key-clip",Hello Kitty,19 sm,$5-11,$5,$3,47163,Claire's USA
Hello Kitty Blue Angel,Hello Kitty,16,$17-37,$15-17,$5-10,46136,UK
Hello Kitty (bunny) pink suit costume,Hello Kitty,18,$17-25,$10-12,$6-10,40948,
"Hello Kitty (candy cane, green)",Hello Kitty,17,$7-13,$8,$5,40864,
"Hello Kitty (candy cane, red)",Hello Kitty,17,$7-20,$6,$1,40864,High range is established sellers within the hobby.
"Hello Kitty (celebration, party hat)",Hello Kitty,19,$6-12,$3-6,$2,41137,
"Hello Kitty (celebration, party hat) Con hang tag",Hello Kitty,19,$17-27,$8,$3,41137,"Con Exclusive 40th Anniv. Oct 30-Nov 2, 2014 sp. tag"
Hello Kitty (cheerleader),Hello Kitty,19,$6-11,$4-5,$4,40991,
Hello Kitty Chococat,Hello Kitty,17,$22-38,$14,$9,40881,
Hello Kitty Christmas holiday gift present,Hello Kitty,18,$6-9,$3-5,$2-3,40934,
"Hello Kitty (Christmas holiday red velvet dress, white trim, 2013)",Hello Kitty,19,$7-17,$8,$7,41014,
Hello Kitty (Christmas holiday scarf),Hello Kitty,19,$5-12,$5,$3,40970,
Hello Kitty Christmas holiday wreath,Hello Kitty,18,$4-9,$2-4,$2-3,40933,
Hello Kitty (cotton candy),Hello Kitty,19,$9-14,$7,$5,41143,
Hello Kitty (cupcake rainbow overalls),Hello Kitty,"18, 19",$5-10,$4,$2,40893,
Hello Kitty (Cupid Valentine bow and arrow),Hello Kitty,18,$8-21,$6,$2-4,40942,
"Hello Kitty (Easter, blue ears, pink overalls)",Hello Kitty,19,$6-10,$3-5,$2,40983,
"Hello Kitty (Easter bunny, green ears, pink overalls)",Hello Kitty,17,$6-12,$3-6,$1-3,40838,
"Hello Kitty (Easter, pink ears, yellow overalls)",Hello Kitty,17,$8-10,$4-6,$3,40837,
"Hello Kitty (Easter, purple ears, purple overalls)",Hello Kitty,19,$8-14,$2-5,$1,40984,
"Hello Kitty (Easter, rainbow ears, rainbow overalls)",Hello Kitty,19,$6-12,$2-5,$1,41017,
"Hello Kitty (Easter, gingham dress, chick)",Hello Kitty,19,$8-26,$4-5,$3,41138,
"Hello Kitty (Easter, Spring oral dress, bunny)",Hello Kitty,19,$7-8,$3-4,$2,41156,
Hello Kitty (elf) holiday green christmas out t,Hello Kitty,19,$6-15,$5-7,$5,40971,
Hello Kitty (fashionista) (Purple Glasses),Hello Kitty,19,$7-13,$4-5,$3,41161,
Hello Kitty (fashionista) (Red Glasses),Hello Kitty,19,$5-10,$3-5,$2,40958,
"Hello Kitty (gingerbread man, Christmas red plaid dress)",Hello Kitty,19,$7-20,$5-8,$6,41116,
"Hello Kitty (glasses, black, nerd)",Hello Kitty,19,$7-13,$4-6,$3,40962,
Hello Kitty Gold Angel,Hello Kitty,"15, 18UK",$23-32,$7-20,$10,46149,"USA, UK"
Hello Kitty (Halloween bat 2010 black face),Hello Kitty,17,$15-31,$10-12,$8-9,40855,Highest near Halloween
Hello Kitty (Halloween bat 2014 orange face),Hello Kitty,19,$15-21,$8-19,$6-9,41107,Highest near Halloween
"Hello Kitty (Halloween black cat, candy)",Hello Kitty,18,$10-28,$7-9,$5-7,40924,Highest near Halloween
Hello Kitty (Halloween red devil),Hello Kitty,18,$30-62,$13-21,$10- 16,40923,High range is established sellers within the hobby.
Hello Kitty (Halloween witch),Hello Kitty,17,$22-47,$15-18,$11- 13,40856,High range is established sellers within the hobby.
"Hello Kitty (heart glasses, pink dress, white hearts)",Hello Kitty,19,$6-17,$5-9,$1-3,41016,
"Hello Kitty (heart glasses, pink dress, pink hearts)",Hello Kitty,19,$6-20,$4-9,$1-3,41118,High range is established sellers within the hobby.
Hello Kitty (I Love Berlin),Hello Kitty,19,$13-18,$8-12,$3-5,46245,Germany
Hello Kitty (I Love Chicago),Hello Kitty,19,$6-9,$3-4,$2-3,40987,
Hello Kitty (I Love France),Hello Kitty,19,$37-47,$15-20,$8-10,46250,France - High range is established/known sellers in the hobby
Hello Kitty (I Love Germany),Hello Kitty,19,$37-41,$15-18,$9-11,46246,Germany - High range is established/known sellers in the hobby
Hello Kitty (I Love Hamburg),Hello Kitty,19,$18-22,$9-12,$8-10,46261,Germany
Hello Kitty (I Love Hawaii),Hello Kitty,19,$7-9,$4-5,$3-4,40965,Hawaii
Hello Kitty (I Love Iceland),Hello Kitty,19,$16-22,$8-14,$4-7,41028,Iceland
Hello Kitty (I Love Israel),Hello Kitty,19,$16-25,$12-14,$6-7,46242,Israel
Hello Kitty (I Love Japan),Hello Kitty,19,$10-13,$5-8,$3-4,46256,see also I Love Japan
Hello Kitty I Love Japan (Red Cross Nurse),Hello Kitty,18,$9-22,$5-8,$2-4,40908,extra tag - High range is established/known sellers in the hobby
Hello Kitty I Love Japan (UK version),Hello Kitty,18,$11-18,$5-9,$2-4,40908,UK
Hello Kitty (I Love Jerusalem),Hello Kitty,19,$19-25,$8-12,$5-8,46243,Israel
Hello Kitty (I Love LA) Los Angeles,Hello Kitty,19,$7-11,$3-5,$2-3,40946,
Hello Kitty (I Love Las Vegas),Hello Kitty,19,$7-12,$3-5,$2-3,40945,
Hello Kitty (I Love London),Hello Kitty,19,$9-13,$6-9,$3-4,41032,UK
Hello Kitty (I Love Lyon),Hello Kitty,19,$45-65,$8-15,$3-6,46262,France
Hello Kitty (I Love New York/NY),Hello Kitty,19,$8-12,$4-6,$3-4,40947,
Hello Kitty (NY),Hello Kitty,19,$17-24,$7-10,$5-7,,NY (only NY on shirt)
Hello Kitty (I Love Paris),Hello Kitty,19,$17-67,$8-15,$4-8,46244,Paris - High range is established/known sellers in the hobby
Hello Kitty (I Love San Francisco),Hello Kitty,19,$9-10,$4-5,$3-4,40986,
Hello Kitty (I Love Spain),Hello Kitty,19,$35-45,$20-25,$8-10,46255,Spain
Hello Kitty (ice cream cone),Hello Kitty,19,$7-15,$5-6,$3-4,42090,
Hello Kitty (Jelly Belly plain red bow)Valentine's Day,Hello Kitty,15,$9-11,$5-6,$3-4,40813,Walgreens (often sold as a pair)
Hello Kitty (Jelly Belly white/red bow) Valentine's Day,Hello Kitty,15,$9-11,$5-6,$3-4,40814,Walgreens (often sold as a pair)
Keroppi,Hello Kitty,17,$13-37,$9-14,$8-9,40885,Higher on Amazon but Ty Brand is gated
Hello Kitty KISS (Catman),Hello Kitty,19,$8-21,$7-10,$3-5,42061,
Hello Kitty KISS (Demon),Hello Kitty,19,$8-25,$7-12,$3-6,42058,
Hello Kitty KISS (Spaceman),Hello Kitty,19,$8-22,$7-11,$3-7,42059,
Hello Kitty KISS (Starchild),Hello Kitty,19,$8-20,$6-10,$3-8,42060,
Hello Kitty KUROMI,Hello Kitty,19,$30-62,$15-20,$18,40882,(friend of)
Hello Kitty (ladybug/ ladybird),Hello Kitty,18,$29-54,$23-25,$15,47147,UK - High side is known sellers within the hobby
Hello Kitty (lamb suit) Easter,Hello Kitty,18,$14-35,$10-14,$8,40949,
"Hello Kitty (Liberty, apple dress)",Hello Kitty,18,$12-22,$6-10,$4-6,46196,UK
"Hello Kitty (Liberty, apple dress) Key-clip",Hello Kitty,18 sm,$7-15,$3-5,$3,46197,UK
"Hello Kitty (Liberty, Capitol)",Hello Kitty,19,$13-24,$7-11,$5-7,46224,UK
Hello Kitty (lollipop),Hello Kitty,19,$7-11,$5-7,$4-5,40961,
Hello Kitty (London Royal Guard),Hello Kitty,19,$11-20,$7-9,$5-7,46202,UK
Hello Kitty (mermaid shape),Hello Kitty,19,$6-12,$4-5,$3,42089,
"Hello Kitty My Melody (bunny, rabbit)",Hello Kitty,17,$17-42,$8-18,$6,40883,High side is known sellers within the hobby
"Hello Kitty (peace heart, aqua)",Hello Kitty,17,$8-22,$7-10,$3-5,40873,High side is known sellers within the hobby
"Hello Kitty (peace heart, purple)",Hello Kitty,17,$8-16,$6-8,$3-5,40874,
Hello Kitty Pink Angel,Hello Kitty,16,$27-42,$18-20,$8-10,46150,UK - High side is known sellers within the hobby
"Hello Kitty (pink fuzzy overalls, mint shirt)",Hello Kitty,18,$12-18,$5-7,$3-5,40906,
"Hello Kitty (pink overalls, pink shirt)",Hello Kitty,18,$9-14,$4-5,$3,40894,
"Hello Kitty (pink shimmer all over, tutu)",Hello Kitty,19,$8-14,$3-5,$3,41020,
Hello Kitty (police woman),Hello Kitty,19,$50-77,$17-44,$5-8,46230,UK - High side is known sellers within the hobby
Hello Kitty (pumpkin lollipop),Hello Kitty,19,$11-17,$6-8,$5,41009,
Hello Kitty (pumpkin),Hello Kitty,19,$15-22,$9-13,$4-6,40968,
Hello Kitty Punk,Hello Kitty,16,$15-35,$9-11,$7-8,46143,Clinton Cards/UK High side from known sellers
Hello Kitty (punk rock dress),Hello Kitty,19,$9-14,$8-9,$7-9,40990,
"Hello Kitty (purple fuzzy overalls, pink shirt)",Hello Kitty,18,$12-15,$7-8,$5-6,40907,
Hello Kitty (purple tartan),Hello Kitty,18,$15-17,$7-9,$5-7,40901,
Hello Kitty (purple),Hello Kitty,19,$10-15,$7-9,$5-6,41022,
Hello Kitty (rainbow dress) tie dye,Hello Kitty,19,$8-16,$6-8,$3-4,40992,
Hello Kitty (rainbow overalls) Key-clip,Hello Kitty,19 sm,$15-17,$3-7,$1-3,40957,
"Hello Kitty (red heart, 2010 version) pink dress, white polka dots",Hello Kitty,17,$9-19,$7-8,$3-4,40890,
"Hello Kitty (red heart, 2012 version) pink dress, red hearts",Hello Kitty,19,$10-17,$5-7,$3-4,40978,
"Hello Kitty (red jumper overalls, pink t-shirt) Key-clip",Hello Kitty,15 sm,$25-29,$10-16,$5-8,46147,UK - metal clip
"Hello Kitty (red jumper overalls, pink t-shirt) Key-clip",Hello Kitty,15 sm,$12-22,$6-8,$4-5,40818,USA - plastic clip
"Hello Kitty (red overalls) jumper, pink shirt",Hello Kitty,15,$12-23,$8-12,$6-7,40817,
Hello Kitty (reindeer),Hello Kitty,19,$4-11,$3-4,$2,41117,
Hello Kitty Retro,Hello Kitty,16,$20-24,$18-20,$7-8,46144,UK
Hello Kitty Rock,Hello Kitty,16,$21-29,$9-14,$6-7,46142,UK
Hello Kitty (rose),Hello Kitty,19,$8-15,$4-7,$3,41029,
Hello Kitty (safari dress),Hello Kitty,19,$7-16,$5-7,$4,42088,
"Hello Kitty (snowgirl, snowman, snowkitty)",Hello Kitty,19,$22-27,$7-12,$5,41015,
Hello Kitty Strawberry,Hello Kitty,15,$14-30,$1-5,$1-3,46135,UK
Hello Kitty Strawberry Key-clip,Hello Kitty,15 sm,$27-34,$11-19,$5-7,46146,UK
Hello Kitty (Tartan plaid) ligher pink 2009,Hello Kitty,18,$7-10,$3-5,$2,40819,US version
Hello Kitty (Tartan plaid) ligher pink Keyfllip,Hello Kitty,15 sm,$8-12,$4-6,$3,40820,
Hello Kitty (Tartan plaid) darker pink 2011,Hello Kitty,18,$6-9,$3-5,$2,40819,US version
Hello Kitty (Tartan plaid) darker pink Keyfllip,Hello Kitty,18 sm,$8-12,$4-6,$2-5,40819,
Hello Kitty Tartan Plaid lighter pink (satchel) button 2009,Hello Kitty,16,$9-13,$5-6,$3,46137,UK button in bow
Hello Kitty Tartan Plaid lighter pink (no satchel),Hello Kitty,15,$9-13,$4-7,$3,46137,UK button in bow
Hello Kitty (Tartan plaid) darker pink satchel 2010,Hello Kitty,15,$9-14,$4-8,$2-5,46137,UK button in bow
Hello Kitty (teddy bear),Hello Kitty,17,$12-24,$10-12,$8,40889,
Hello Kitty (turquoise),Hello Kitty,19,$10-15,$6-9,$4-5,41021,
Hello Kitty (Union Jack dress),Hello Kitty,19,$9-17,$4-7,$5,46200,UK
Hello Kitty (Union Jack overalls) jumper,Hello Kitty,19,$13-17,$6-8,$4,46201,UK
"Hello Kitty (USA, blue overalls, striped shirt)",Hello Kitty,15,$9-17,$5-8,$3-4,40815,USA
"Hello Kitty (USA, blue overalls, striped shirt) Key-clip",Hello Kitty,15 sm,$9-17,$6-8,$3-4,40816,
Hello Kitty (watermelon),Hello Kitty,17,$10-28,$7-12,$2-5,40840,
Hello Kitty (white angel) With wings,Hello Kitty,19,$13-16,$6-8,#3-4,40960,
Hello Kitty (white angel) No wings,Hello Kitty,19,$10-13,$4-7,$1-3,40960,
Hello Kitty (white hearts on pink dress),Hello Kitty,19,$15-28,$8-12,$5-7,46198,UK
Hello Kitty (white hearts on red dress),Hello Kitty,19,$19-30,$7-14,$3-5,46199,UK
Henley,Hen,BB2.0,$4-9,$1,$1,42040,
Henry,Bear,14,$15-30,$9-12,$1-3,46084,Harrod's
Herald,Bear,"7,10",$2-6,$1,$1,4570,
Herbert,Hedgehog,19,$7-15,$2-7,$1,41111,
Herder,Sheepdog,"7,10",$3-9,$1,$1,4524,
Hero,Bear,"7,8",$2-7,$1,$1,4351,
HERO (Australia)(Ty Store),Bear,11,$5-11,$1-3,$1,40014,Ty Store & Australia
HERO (UK),Bear,11,$5-11,$1-3,$1,40013,
"HERO (USA tag on arm, stars front)",Bear,11,$5-11,$1-3,$1,40012,
"HERO (USA tag on arm, stripes front)",Bear,11,$5-11,$1-3,$1,40012,
HERO (USA tag on chest),Bear,11,$5-11,$1-3,$1,40012,
Hero Lightning McQueen-red,Racecar/Cars 3,Sparkle,$7-12,$1-5,$1,42253,
Hers,Bear,12,$3-7,$1,$1,44013,Ty Store
Herschel,Bear,10,$2-5,$1,$1,4700,Cracker Barrel
Hi 5,The Emoji Movie,19,$2-5,$1-3,$1,42298,
Hikari (Japan) black nose,Bear,13,$25-35,$8-12,$1-3,46041,Asia-Paci c
Hikari (Japan) ag nose,Bear,13,$45-90,$20-30,$12- 19,46041,Japan
Hikari (Gotemba),Bear,13,$45-90,$35-45,$1-3,46041,Lmtd 200 Ty Store Japan
Hippie,Bunny Rabbit,5,$3-5,$1,$1,4218,
Hippily,Bunny Rabbit,14,$5-15,$1-3,$1,47020,Hallmark
Hippity,Bunny Rabbit,"4,5",$3-10,$1,$1,4119,False information is rampant on the internet about this cute beanie
Hippity (2010),Bunny Rabbit,17,$7-12,$1-3,$1,40822,
His,Bear,12,$5-10,$1-3,$1,44014,Ty Store
"His Majesty (Garfield) (""Cats rule.. dogs drool."")",Gar eld,14,$7-12,$1-3,$1,40397,
"His Majesty (Garfield) (""It's good to be king!"")",Gar eld,14,$7-12,$1-3,$1,40397,
"His Majesty (Garfield) (""My kingdom. My rules."")",Gar eld,14,$7-12,$1-3,$1,40397,
Hissy,Snake,5,$4-10,$1-3,$1,4185,
Ho Ho Ho (Greetings),Bear,14,$4-7,$1,$1,40538,
Hobo,Sheepdog,13,$3-7,$1-3,$1,40231,
Hocus,Bear,13,$5-11,$1-3,$1,40262,
Hodge Podge,Dog,"7,10",$3-7,$1-3,$1,4569,
Hodges,Cat,15,$9-40,$12-20,$3-5,40651,Dealers seem to get more $$ for this one
Hoho,"Ni Hao, Kailan",15,$8-17,$2-5,$1-3,40776,
Holidays,Bear,15,$3-8,$1,$1,44121,Ty Store
Hollydays,Bear,13,$3-8,$1,$1,40273,
Hollyhorse,Horse,14,$8-12,$1-3,$1,40444,
Holmes,Bloodhound,BBOM,$2-5,$1,$1,4801,BBOM
Holy Father,Bear,13,$2-5,$1,$1,40265,
Homeland,Bird: Rooster,14,$3-6,$1,$1,40364,
Honey,Deer,17,$18-25,$2-5,$1-3,40857,
Honey,Moshi Monsters,18,$4-8,$1-3,$1,46190,UK
Honey Key-clip,Moshi Monsters,19 sm,$2-5,$1,$1,46219,UK
Honey-Bun,Dog: Valentine,12,$1-3,$1,$1,40159,
Hong Kong Toy Fair (2010)-red,Bear,17,$1500- 2000,$1000- 1400,$600- 800,None,Peninsula Hotel HK Private Party
Hong Kong Toy Fair 2011-red,Bear,18,$400- 500,$200- 300,$90- 150,None,Peninsula Hotel HK Private Party
Hong Kong Toy Fair 2012,Bear,18,$300- 350,$150- 200,$75- 125,None,Peninsula Hotel HK Private Party
Hong Kong Toy Fair 2013-pink,Bear,19,$300- 450,$225- 300,$100- 200,None,Peninsula Hotel HK Private Party
Hong Kong Toy Fair 2017-pink,Bear,19,$800- 1500,$500- 750,$400- 600,None,Peninsula Hotel HK Private Party
Hong Kong Toy Fair 2017-tan,Bear,19,$800- 1200,$500- 750,$400- 600,None,Peninsula Hotel HK Private Party
Hong Kong Toy Fair 2018,Dog,19,$750- 1000,$400- 650,$100- 200,None,Peninsula Hotel HK Private Party
"Hong Kong Toy Fair 2019 (hot pink, gold banner)",Pig,Flippables,$600- 1200,$400- 650,$200- 300,None,Peninsula Hotel HK Private Party
"Hong Kong Toy Fair 2019 (light pink, red money bag)",Pig,Flippables,$600- 1200,$400- 650,$200- 300,None,Peninsula Hotel HK Private Party
Honker,Goose,15,$5-16,$1-3,$1,40719,
Honks,Goose,5,$2-7,$1,$1,4258,
Honor Roll (class of 2007),Dog,15,$3-8,$1,$1,44106,Ty Store
Honor Roll (no date),Dog,15,$4-9,$1-3,$2,44106,Ty Store
Honors,Bear,14,$1-5,$1,$1,40358,
Hoodwink,Monkey,15,$7-14,$1-3,$1,40499,
Hoofer,Horse,"7,10",$2-7,$1,$1,4518,
Hoops,Bear,13,$9-20,$1-5,$1-3,40286,
Hoot,Owl,3,$18-40,$12-18,$1-3,4073,
Hoot,Owl,4,$3-7,$1,$1,4073,
Hootsey,Owl,15,$18-25,$10-15,$2-5,44187,Ty Store
Hope,Bear,5,$2-10,$1,$1,4213,Many false rumors about this beanie.
Hope,Bear,17,$9-25,$1,$1,40833,
Hopper,Bunny Rabbit,"7,8",$5-25,$1,$1,4342,Dealers seem to get more$$ for this one
Hoppily,Bunny Rabbit,14,$3-5,$1,$1,47020,Hallmark
Hoppington,Bunny Rabbit,15,$4-10,$1,$1,47084,Hallmark
Hoppity,Bunny Rabbit,"4,5",$3-10,$1,$1,4117,Many false rumors about this beanie
Hoppity (2010),Bunny Rabbit,17,$8-18,$1-3,$1,40821,
Hopson,Bunny Rabbit,15,$3-10,$1,$1,40495,
Hopsy,Bunny Rabbit,BB2.0,$2-5,$1,$1,42010,
Hornsly,Triceratops,"7,8",$5-12,$1-3,$1,4345,
Houghie (big eyes),Dog: Pug,19,$8-12,$2-5,$1-3,40175,
Houston,Dog,14,$4-10,$1,$1,40388,
Houston (2012),Dog,19,$8-15,$1-3,$1,42052,
Howl,Wolf,"6,7",$8-15,$1-3,$1,4310,
Howlidays,Dog: Holiday,15,$3-7,$1-3,$1,40755,
Hugamus,Hippopotamus,15,$18-28,$9-15,$3-7,44188,Ty Store
Huggins,Dog Pit Bull,12,$4-9,$1-3,$1,40077,
Huggy,Bear,"6,7",$1-5,$1,$1,4306,
Hug-hug (pink),Bear,13,$2-9,$1-3,$1,40310,
Hugsy,Bear,14,$4-11,$1,$1,47047,Walgreens
Hulk,Marvel Superhero,19,$4-9,$1-3,$1,41191,The Avengers Movie - not exclusive
Humphrey,Camel,1,$775- 1050,$300- 500,$50- 135,4060,
Humphrey,Camel,2,$450- 800,$150- 350,$50- 135,4060,
Humphrey,Camel,3,$250- 450,$100- 200,$50- 135,4060,
HUMUNGOSAUR,BEN 10,17,$40-60,$20-30,$10- 20,46162,UK
Huntley,Bear,12,$4-7,$1,$1,40107,
Hutch Clutch (purse),Purse Bunny,14,$3-7,$2,$1,40336,
Hutches,Bunny Rabbit,BB2.0,$3-7,$1,$1,44125,Ty Store
Hydrant,Dog: Dalmatian,BB2.0,$7-14,$1-3,$1,42036,
Hydrant (2012),Dog: Dalmatian,19,$11-15,$1-3,$1,42053,
I (heart) U,Bear,13,$8-15,$1-5,$1,40307,
I (I beanie),Bear,Alphabet,$1-3,$1,$1,40509,
I Love Japan (Red Cross Nurse),Hello Kitty,18,above,above,above,40908,extra tag See Hello Kitty
I Love Japan (UK version),Hello Kitty,18,above,above,above,40908,UK See Hello Kitty
Icebox,Polar Bear,15,$8-18,$1-3,$1,40790,
Icecubes,Bear,BBOM,$2-5,$1,$1,48420,BBOM
Icepack,Bear,13,$3-10,$1-3,$1,44205,Ty Store WWF
Icing,Seal,13,$4-9,$1-3,$1,40241,
Ida (big eyes),Hedgehog,19,$2-9,$2-4,$1,42274,
Iggy (Rainbow Tie Dye Fabric),Iguana,5,$1-10,$1,$1,4038,"No Tongue, PVC/PE Pellets, Hang tag on foot"
Iggy (Rainbow Tie Dye Fabric),Iguana,5,$1-10,$1,$1,4038,"No Tongue, PVC/PE Pellets, Hang tag spine"
Iggy (Rainbow Tie Dye Fabric),Iguana,5,$1-10,$1,$1,4038,"Tongue, , Hang Tag spine, Pastel"
Iggy (Rainbow Tie Dye Fabric),Iguana,5,$1-10,$1,$1,4038,"Tongue, Hang tag spine, Neon"
Iggy (Rainbow Tie Dye Fabric),Iguana,5,$1-10,$1,$1,4038,"Tongue, Hang tag spine, Sherbet"
Iggy (Iggy Blue Fabric),Iguana,5,$1-10,$1,$1,4038,"Correct fabric, Hang tag foot"
Iggy (Iggy Blue Fabric),Iguana,5,$1-10,$1,$1,4038,"Correct fabric, Hang tag spine"
Igloo (2012) (big eyes),Polar Bear,19,$20-30,$10-15,$1-5,42064,Birthday 12/28/11
Igloo (big eyes),Polar Bear,17,$12-22,$2-8,$1-3,40880,Birthday 12/24/09
Illinois,Bear,12,$2-5,$1,$1,40127,State
Illinois Violet,Bear,13,$2-5,$1,$1,40293,Trade Show
Inch (felt antennas),Inchworm,3,$35- 125,$18-35,$1-5,4044,With a 1st gen tush tag
Inch (felt antennas),Inchworm,3,$25-85,$12-35,$1-5,4044,With a 2nd gen tush tag
Inch (felt antennas),Inchworm,4,$30-80,$15-25,$3-5,4044,
Inch (yarn antennas),Inchworm,45,$1-10,$1,$1,4044,
Independence (blue),Bear,14,$1-5,$1,$1,40366,
Independence (red),Bear,14,$1-5,$1,$1,40366,
Independence (white),Bear,14,$1-5,$1,$1,40366,
India,Tiger,"6,7",$3-9,$1,$1,4291,
"Inky (pink, with mouth)",Octopus,3,$40- 125,$15-55,$1-5,4028,With a 1st gen tush tag
"Inky (pink, with mouth)",Octopus,3,$30-65,$12-32,$1,4028,With a 2nd gen tush tag
"Inky (pink, with mouth)",Octopus,"4,5",$4-10,$1,$1,4028,
"Inky (tan, no mouth)",Octopus,1,$700- 1000,$200- 400,$35- 70,4028,
"Inky (tan, no mouth)",Octopus,2,$250- 400,$90- 150,$35- 70,4028,
"Inky (tan, with mouth)",Octopus,2,$195- 300,$90- 135,$20- 40,4028,
"Inky (tan, with mouth)",Octopus,3,$100- 200,$30-70,$20- 40,4028,
Ireland,Bear,13,$14-22,$2-5,$1-3,46019,UK
Iron Man,Marvel Superhero,19,$4-9,$1-3,$1,41190,The Avengers Movie - not exclusive
Issy Alexandria,Bear,"7,9",$2-9,$1,$1,4404,
Issy Amman,Bear,"7,9",$2-9,$1,$1,4404,
Issy Atlanta,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Austin,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Bali,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Bangkok,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Beirut,Bear,"7,9",$2-9,$1,$1,4404,
Issy Berlin,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Beverly Hills,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Boston,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Budapest,Bear,"7,9",$2-9,$3,$1,4404,
Issy Cairo,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Caracas,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Chiang Mai,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Chicago,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Costa Rica,Bear,"7,9",$8-12,$1-3,$1,4404,
Issy Dallas,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Doha,Bear,"7,9",$2-9,$1,$1,4404,
Issy Dublin,Bear,"7,8,9",$20-45,$5-15,$1-3,4404,
Issy Exuma,Bear,"7,9",$2-9,$1,$1,4404,
Issy Hong Kong,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Houston,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Hualalai,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Istanbul,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Jackson Hole,Bear,"7,9",$2-9,$1,$1,4404,
Issy Jakarta,Bear,"7,8,9",$2-9,$1,$1,4404,
Issy Kuala Lumpur,Bear,"7,8,9",$10-25,$2-5,$1-3,4404,
Issy Las Vegas,Bear,"7,8,9",$2-9,"""$2-5 """,$1,4404,
Issy Lisbon,Bear,"7,8,9",$2-9,"""$2-5 $2-5""",$1,4404,
Issy London,Bear,"7,8,9",$2-9,$2-5,$1,4404,
Issy Los Angeles,Bear,"7,8,9",$2-9,$2-5,$1,4404,
Issy Maldives,Bear,"7,8,9",$2-9,$2-5,$1,4404,
Issy Maui,Bear,"7,8,9",$2-9,"""$2-5 """,$1,4404,
